order,combo,o_info
3,"('draw_range', 'draw_sum', 'n4_delta')",-0.14609286613645622
3,"('draw_range', 'draw_sum', 'n2_delta')",-0.1459252470004806
3,"('draw_sum', 'n3_mod7', 'n4_delta2')",-0.14583516996944468
3,"('draw_sum', 'n4_delta', 'pb_delta')",-0.14507239139388162
3,"('draw_sum', 'n2_mod7', 'n3_delta2')",-0.1439248360201013
3,"('draw_std', 'draw_sum', 'n2_mod7')",-0.1431622165230948
3,"('draw_range_roll_mean', 'draw_sum', 'n1_delta')",-0.14228027062463866
3,"('draw_sum', 'n2_delta2', 'n2_mod7')",-0.1421995480185032
3,"('draw_sum', 'n2_mod7', 'n5_delta2')",-0.14193094277554152
3,"('draw_sum', 'n1_delta2', 'pb_delta')",-0.14144355341298365
3,"('draw_sum', 'n1_mod7', 'n2_mod7')",-0.14074960470066955
3,"('draw_sum', 'n4_delta2', 'n4_mod7')",-0.14023013511991067
3,"('draw_sum', 'n4_delta', 'n4_mod7')",-0.14017355442148727
3,"('draw_range', 'draw_std_roll_std', 'draw_sum')",-0.13864313053188404
3,"('draw_std', 'draw_sum', 'n3_delta')",-0.1385601959168774
3,"('draw_sum', 'draw_sum_roll_mean', 'n1_delta')",-0.13778588961550042
3,"('draw_sum', 'n3_delta', 'sum_hurst')",-0.1366779668858591
3,"('draw_sum', 'n1_delta', 'sum_hurst')",-0.13596697266864588
3,"('draw_std', 'draw_sum', 'n4_delta')",-0.13469861361421565
3,"('draw_sum', 'n2_delta', 'pb_delta')",-0.1341187117841649
3,"('draw_sum', 'n2_mod7', 'pb_delta')",-0.13409293297013747
3,"('draw_sum', 'n3_mod7', 'n4_delta')",-0.13329233557248443
3,"('draw_sum', 'n2_delta2', 'n4_mod7')",-0.13301767419116928
3,"('draw_std', 'draw_sum', 'n5_mod7')",-0.13285270422023387
3,"('draw_sum', 'n2_mod7', 'n5_mod7')",-0.13259040029891622
3,"('draw_sum', 'n5_delta2', 'n5_mod7')",-0.13228004605291233
3,"('draw_sum', 'n2_delta', 'sum_hurst')",-0.13227676499536045
3,"('draw_sum', 'n1_mod7', 'n5_delta2')",-0.13212155280606908
3,"('draw_std_roll_mean', 'draw_sum', 'n2_mod5')",-0.13186472273748606
3,"('draw_sum', 'n2_mod7', 'n4_mod7')",-0.1317870437566917
3,"('draw_std', 'draw_std_roll_std', 'draw_sum')",-0.1316471911245518
3,"('draw_sum', 'n4_mod7', 'n5_delta2')",-0.13144740155438228
3,"('draw_sum', 'draw_sum_roll_mean', 'n1_mod7')",-0.13100484725870842
3,"('draw_range', 'draw_range_roll_std', 'draw_sum')",-0.13047680022270214
3,"('draw_sum', 'n4_mod7', 'n5_mod7')",-0.1298672862628223
3,"('draw_sum', 'n1_mod7', 'n3_delta2')",-0.12957440839134904
3,"('draw_sum', 'n3_mod7', 'n4_mod7')",-0.129356923336303
3,"('draw_sum', 'n4_delta2', 'n5_mod7')",-0.12846790984430356
3,"('draw_sum', 'n3_mod7', 'n5_delta2')",-0.12844212445699554
3,"('draw_std_roll_std', 'draw_sum', 'n4_mod7')",-0.12782922723427959
3,"('draw_sum', 'n3_delta2', 'n5_mod7')",-0.12682783883541404
3,"('draw_sum', 'n2_mod7', 'n3_mod7')",-0.12662612704450993
3,"('draw_sum', 'n1_mod7', 'n5_mod7')",-0.12655094610816775
3,"('draw_std', 'draw_sum', 'n5_delta2')",-0.12600297500284796
3,"('draw_sum', 'n1_mod3', 'n1_mod7')",-0.1256673837650304
3,"('draw_sum', 'n1_delta2', 'n2_mod7')",-0.12503028914819936
3,"('draw_sum', 'n1_delta2', 'n3_mod7')",-0.12497681792012116
3,"('draw_sum', 'n1_mod7', 'n4_mod7')",-0.12478116332437494
3,"('draw_sum', 'n1_mod7', 'n4_delta2')",-0.12458615268424467
3,"('draw_range_roll_std', 'draw_sum', 'n4_delta')",-0.12439404492182504
3,"('draw_sum', 'n3_delta2', 'n3_mod7')",-0.1237731558606292
3,"('draw_sum', 'n2_delta2', 'n5_mod7')",-0.12349238363168169
3,"('draw_sum', 'n1_delta', 'pb_delta')",-0.12245330069615257
3,"('draw_sum', 'n1_delta2', 'n4_mod7')",-0.12234450398904073
3,"('draw_sum', 'n3_mod7', 'n5_mod7')",-0.12199158880222427
3,"('draw_sum', 'n4_mod7', 'n5_delta')",-0.12171679580733219
3,"('draw_sum', 'n1_mod7', 'n3_mod7')",-0.12164820369813967
3,"('draw_sum', 'n3_delta', 'pb_delta')",-0.12136663292837824
3,"('draw_sum', 'n1_delta2', 'n5_mod7')",-0.12090463643156113
3,"('draw_sum', 'n3_delta2', 'n4_mod7')",-0.12057548439836552
3,"('draw_range_roll_mean', 'draw_sum', 'n2_mod5')",-0.12053967587103287
3,"('draw_range_roll_std', 'draw_sum', 'n3_delta2')",-0.12053601238249634
3,"('draw_std_roll_std', 'draw_sum', 'n2_delta2')",-0.12031478715524102
3,"('draw_range_roll_mean', 'draw_sum', 'n5_mod5')",-0.11952401096381848
3,"('draw_sum', 'n2_mod7', 'n5_delta')",-0.11948136499822759
3,"('draw_sum', 'n2_mod5', 'sum_hurst')",-0.11925596850197095
3,"('draw_range_roll_std', 'draw_sum', 'n2_delta2')",-0.11915329383962892
3,"('draw_range_roll_std', 'draw_std', 'draw_sum')",-0.11908737544628778
3,"('draw_sum', 'n3_mod5', 'sum_hurst')",-0.11890614650536335
3,"('draw_range_roll_std', 'draw_sum', 'n4_delta2')",-0.11868191524044391
