order,combo,o_info
3,"('draw_sum', 'mb_delta', 'n3_delta')",-0.09092717898212932
3,"('draw_sum', 'mb_delta', 'n3_delta2')",-0.09092622334604883
3,"('draw_sum', 'n4_mod7', 'n5_mod7')",-0.0906525083346672
3,"('draw_sum', 'n1_mod7', 'n3_mod7')",-0.09038410338288116
3,"('draw_range', 'draw_sum', 'n1_n4_sum')",-0.0900782803476119
3,"('draw_range', 'draw_sum', 'draw_sum_roll_mean')",-0.08980634135062715
3,"('draw_sum', 'n2_mod7', 'n3_delta')",-0.08978069754294538
3,"('draw_std_roll_std', 'draw_sum', 'n4_delta2')",-0.089772704645112
3,"('draw_range_roll_std', 'draw_sum', 'n3_mod7')",-0.08955500703458519
3,"('draw_sum', 'n5_delta', 'n5_mod7')",-0.0891078043546436
3,"('draw_sum', 'n2_mod7', 'n5_mod7')",-0.08892095226321928
3,"('draw_sum', 'n2_mod7', 'n5_delta')",-0.08879850634125752
3,"('draw_range', 'draw_sum', 'n1_mod5')",-0.08867641596490117
3,"('draw_sum', 'n1_delta2', 'n5_delta')",-0.08862781088113891
3,"('draw_sum', 'mb_delta', 'n2_delta')",-0.08844919041369259
3,"('draw_range', 'draw_sum', 'n5_mod5')",-0.08838822382084288
3,"('draw_sum', 'n1_delta2', 'n1_mod7')",-0.08795613651562562
3,"('draw_std_roll_std', 'draw_sum', 'n4_mod7')",-0.08771604483648154
3,"('draw_sum', 'n1_mod7', 'n3_delta2')",-0.08724965362581116
3,"('draw_range_roll_std', 'draw_sum', 'n5_mod7')",-0.08723857997265227
3,"('draw_sum', 'n4_delta', 'n4_mod7')",-0.08707168086766437
3,"('draw_range_roll_std', 'draw_sum', 'n2_delta')",-0.0868773423871918
3,"('draw_sum', 'n1_delta', 'sum_hurst')",-0.08640750368155992
3,"('draw_sum', 'n1_mod7', 'n2_delta')",-0.0862887288627352
3,"('draw_sum', 'n1_delta2', 'n5_mod7')",-0.08561376702509094
3,"('draw_sum', 'n2_mod7', 'n4_delta')",-0.08551751168747401
3,"('draw_range_roll_std', 'draw_sum', 'n4_mod7')",-0.08551067869029616
3,"('draw_std', 'draw_sum', 'n1_mod5')",-0.08523183997155215
3,"('draw_sum', 'n3_mod7', 'n5_mod7')",-0.08510095589059574
3,"('draw_range', 'draw_std_roll_mean', 'draw_sum')",-0.08497597342554286
3,"('draw_sum', 'n1_mod7', 'n5_mod7')",-0.08493951378926923
3,"('draw_sum', 'draw_sum_roll_mean', 'n1_mod5')",-0.08467408150458589
3,"('draw_std_roll_std', 'draw_sum', 'n3_delta2')",-0.08465480257459568
3,"('draw_sum', 'n2_delta', 'n2_mod7')",-0.08455214850302895
3,"('draw_sum', 'n1_mod7', 'n2_mod7')",-0.08424701048441463
3,"('draw_sum', 'mb_delta', 'n5_mod5')",-0.08383838853928616
3,"('draw_std_roll_mean', 'draw_sum', 'n4_mod5')",-0.08381409451096644
3,"('draw_range_roll_std', 'draw_sum', 'n2_mod7')",-0.08377260514591356
3,"('draw_range_roll_mean', 'draw_sum', 'n3_mod5')",-0.08344052222999387
3,"('draw_std', 'draw_sum', 'n3_mod5')",-0.08334943729689037
3,"('draw_sum', 'n2_delta2', 'n5_delta2')",-0.0832111283225423
3,"('draw_sum', 'n3_mod7', 'n4_delta')",-0.08312881481500511
3,"('draw_range_roll_mean', 'draw_sum', 'n4_mod5')",-0.08299199561882986
3,"('draw_std', 'draw_sum', 'n4_delta')",-0.08292476407732607
3,"('draw_std_roll_std', 'draw_sum', 'n5_mod7')",-0.08278906366932404
3,"('draw_std_roll_std', 'draw_sum', 'n2_mod7')",-0.08235443708304757
3,"('draw_std_roll_std', 'draw_sum', 'n3_mod7')",-0.08225212052716735
3,"('draw_range_roll_std', 'draw_sum', 'n2_delta2')",-0.08199862611293973
3,"('draw_range', 'draw_sum', 'n5_delta2')",-0.08195629052370101
3,"('draw_sum', 'n1_mod7', 'n5_delta2')",-0.08056237425195611
3,"('draw_sum', 'n3_mod7', 'n4_mod7')",-0.08029459661967664
3,"('draw_sum', 'n3_delta2', 'n3_mod7')",-0.0801602757573523
3,"('draw_sum', 'n3_delta', 'n3_mod7')",-0.08000183036092245
3,"('draw_sum', 'n3_delta', 'n4_mod7')",-0.07999057642501661
3,"('draw_sum', 'n4_mod7', 'n5_delta')",-0.07977542822325034
3,"('draw_sum', 'n5_mod5', 'sum_hurst')",-0.07965306114268778
3,"('draw_sum', 'draw_sum_roll_mean', 'n2_mod5')",-0.0795302724924909
3,"('draw_range_roll_std', 'draw_sum', 'n1_delta2')",-0.079460832354874
3,"('draw_sum', 'n2_mod7', 'n3_mod7')",-0.07938821794108009
3,"('draw_sum', 'n1_delta', 'n3_mod7')",-0.079158335150046
3,"('draw_sum', 'n1_mod5', 'n2_delta2')",-0.079020078491153
3,"('draw_std', 'draw_sum', 'n4_mod5')",-0.07897027946773783
3,"('draw_sum', 'n4_mod5', 'sum_hurst')",-0.07895109099590947
3,"('draw_sum', 'n2_delta2', 'n3_mod5')",-0.07891920768196137
3,"('draw_sum', 'draw_sum_roll_std', 'n2_delta2')",-0.07881386554615233
3,"('draw_range_roll_std', 'draw_sum', 'n3_delta2')",-0.07836816453003514
3,"('draw_sum', 'draw_sum_roll_mean', 'n4_mod5')",-0.0782523602253633
3,"('draw_sum', 'n2_delta', 'n5_mod7')",-0.07762458022050467
3,"('draw_sum', 'draw_sum_roll_std', 'n4_delta2')",-0.0775723448501342
3,"('draw_sum', 'n1_delta2', 'n3_mod5')",-0.07753742639015115
3,"('draw_sum', 'n4_delta2', 'n5_mod5')",-0.0773953701910397
3,"('draw_sum', 'mb_delta', 'n2_mod5')",-0.07723564440084019
3,"('draw_sum', 'n1_mod3', 'n1_mod5')",-0.07722660648519408
